Sample	posterior	likelihood	prior	treeLikelihood.sim1_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
10988000	-24494.294326802785	-24017.581067697534	-476.71325910525144	-24017.581067697534	-460.0508797464854	29.254429362719108	1	1	1	1	1	0	2.082878	2.082878	2.082878	0.134970	0.055883	0.523903	0.087192	0.055070	0.0	5	2.3445794061163042E-4	1.5487856125702029	0.2836564891234225	0.2205553040369388	0.23116022051328702	0.2646279863263519
10990000	-24492.562085137837	-24011.549976305218	-481.01210883262087	-24011.549976305218	-464.02571535427745	29.24514516181349	0	1	1	1	0	1	2.121179	2.121179	2.121179	0.0	0.034877	0.487307	0.112166	0.0	0.026203	4	2.392044917205489E-4	1.610866599234477	0.2836564891234225	0.2205553040369388	0.23116022051328702	0.2646279863263519
10992000	-24472.796493668855	-23994.155563989025	-478.64092967983123	-23994.155563989025	-463.11723933485604	29.25373624933617	0	1	1	1	0	1	2.215223	2.215223	2.215223	0.0	0.054898	0.394415	0.089707	0.0	0.074314	4	2.4019820396760253E-4	1.610866599234477	0.2836564891234225	0.2205553040369388	0.23116022051328702	0.2646279863263519
10994000	-24484.362211137985	-24002.002843958486	-482.3593671795004	-24002.002843958486	-468.0482521254625	29.279790554739602	0	1	1	0	1	1	2.190231	2.190231	2.190231	0.0	0.083046	0.508940	0.0	0.098259	0.050589	4	2.283903879460041E-4	1.8913220492747398	0.2836564891234225	0.2205553040369388	0.23116022051328702	0.2646279863263519
10996000	-24475.715814986037	-23992.242478368138	-483.47333661789736	-23992.242478368138	-465.88132328036187	29.28384403053077	1	1	1	1	1	1	2.255204	2.255204	2.255204	0.106013	0.018276	0.474786	0.142867	0.214045	0.012468	6	2.3262790325283497E-4	1.8913220492747398	0.2836564891234225	0.2205553040369388	0.23116022051328702	0.2646279863263519
10998000	-24496.05927268804	-24016.26690085561	-479.79237183242856	-24016.26690085561	-464.38818575661475	30.50482264928909	0	1	1	0	0	1	2.220086	2.220086	2.220086	0.0	0.115153	0.318238	0.0	0.0	0.022202	3	2.2867206154656775E-4	1.8913220492747398	0.2816576990402456	0.21928886307847184	0.23116022051328702	0.2678932173679958
11000000	-24476.99064544517	-23995.338544191676	-481.65210125349427	-23995.338544191676	-463.35018875305775	31.092323815217497	1	1	1	0	0	1	1.823428	1.823428	1.823428	0.040719	0.183484	0.687615	0.0	0.0	0.108023	4	2.215057658985911E-4	1.8913220492747398	0.28077274921775647	0.21928886307847184	0.23204517033577618	0.2678932173679958
11002000	-24475.35972138877	-24004.815826700036	-470.54389468873205	-24004.815826700036	-454.7177278631921	30.36191411768738	1	1	1	1	1	1	2.054334	2.054334	2.054334	0.070757	0.093705	0.380142	0.053129	0.049005	0.036110	6	2.2592901074499242E-4	1.8913220492747398	0.28077274921775647	0.21928886307847184	0.23204517033577618	0.2678932173679958
11004000	-24476.93639788166	-24002.241604742285	-474.694793139372	-24002.241604742285	-458.9832098587212	30.610475530632915	0	1	1	1	0	1	2.110170	2.110170	2.110170	0.0	0.095770	0.513757	0.127971	0.0	0.144593	4	2.2573406869830025E-4	1.8913220492747398	0.28077274921775647	0.21928886307847184	0.23204517033577618	0.2678932173679958
11006000	-24464.117215206606	-23994.22758929198	-469.88962591462644	-23994.22758929198	-455.03881609232775	30.539096066298246	0	1	1	0	0	1	1.937430	1.937430	1.937430	0.0	0.064782	0.665105	0.0	0.0	0.093329	3	2.3236731226666953E-4	2.147962712558171	0.28077274921775647	0.21928886307847184	0.23204517033577618	0.2678932173679958
11008000	-24470.592202620217	-23994.817508424592	-475.7746941956263	-23994.817508424592	-459.09637714744036	30.542099927594677	0	1	1	0	0	1	1.713877	1.713877	1.713877	0.0	0.087370	0.721032	0.0	0.0	0.105015	3	2.3287916540582453E-4	2.147962712558171	0.28077274921775647	0.21928886307847184	0.23204517033577618	0.2678932173679958
11010000	-24477.553999505682	-24001.457859772243	-476.0961397334382	-24001.457859772243	-462.670717031372	30.53151469304741	1	0	1	1	0	1	1.873654	1.873654	1.873654	0.137340	0.0	0.437311	0.115963	0.0	0.186692	4	2.2099639959619855E-4	2.147962712558171	0.28077274921775647	0.21928886307847184	0.23204517033577618	0.2678932173679958
11012000	-24483.874735806512	-24001.507180916127	-482.3675548903837	-24001.507180916127	-466.9810444363283	30.318004993093872	0	1	1	1	0	1	2.207681	2.207681	2.207681	0.0	0.083669	0.506400	0.140138	0.0	0.107105	4	2.3379880234276586E-4	2.147962712558171	0.28077274921775647	0.21928886307847184	0.23242643736306215	0.26751195034070985
