Sample	posterior	likelihood	prior	treeLikelihood.sim3_uniform_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
10932000	-24832.709768081146	-24364.16121053669	-468.5485575444538	-24364.16121053669	-454.3783819241363	29.617960195152182	1	1	1	0	0	1	2.348004	2.348004	2.348004	0.099397	0.095029	0.106219	0.0	0.0	0.347282	4	2.7345003935504717E-4	1.8668589672499152	0.28706435369355504	0.21664255067799038	0.23272383869188118	0.26356925693657446
10934000	-24825.059394937012	-24357.66977989408	-467.3896150429316	-24357.66977989408	-453.16927587228355	30.690442929775372	1	1	1	0	1	1	1.933417	1.933417	1.933417	0.115220	0.024043	0.234768	0.0	0.018612	0.503856	5	2.703851307034287E-4	1.8366962625997982	0.28706435369355504	0.21664255067799038	0.23272383869188118	0.26356925693657446
10936000	-24848.677513604605	-24370.607628458714	-478.06988514589153	-24370.607628458714	-464.5135063694935	30.699252324575014	1	1	1	0	0	1	2.044328	2.044328	2.044328	0.217923	0.027927	0.110662	0.0	0.0	0.150712	4	2.512868105015195E-4	1.8366962625997982	0.2887094770100503	0.21664255067799038	0.23272383869188118	0.2619241336200792
10938000	-24848.752181775457	-24362.69084120802	-486.0613405674381	-24362.69084120802	-465.351305819654	30.537966327047897	1	1	1	0	0	1	2.075714	2.075714	2.075714	0.096852	0.127911	0.147737	0.0	0.0	0.283364	4	2.4309603866221857E-4	1.9502870040903237	0.2887094770100503	0.21664255067799038	0.23272383869188118	0.2619241336200792
10940000	-24833.11706044087	-24357.57120645181	-475.54585398906033	-24357.57120645181	-457.9090208394571	30.533179068683662	1	1	1	1	0	1	2.286265	2.286265	2.286265	0.098810	0.033896	0.137816	0.021383	0.0	0.308548	5	2.8010869177577604E-4	1.9502870040903237	0.2887094770100503	0.21664255067799038	0.23272383869188118	0.2619241336200792
10942000	-24844.314821751632	-24370.770723919322	-473.5440978323091	-24370.770723919322	-458.3735896553331	30.53240473952068	1	0	1	0	1	0	2.174519	2.174519	2.174519	0.191157	0.0	0.108341	0.0	0.644076	0.0	3	2.6766675226885084E-4	1.6614232207418962	0.2887094770100503	0.21664255067799038	0.23272383869188118	0.2619241336200792
10944000	-24844.010445425673	-24357.90683623904	-486.103609186634	-24357.90683623904	-467.7282866413067	29.70705903942488	1	0	1	0	1	0	2.326203	2.326203	2.326203	0.294187	0.0	0.123390	0.0	0.590560	0.0	3	2.740328321303766E-4	1.6614232207418962	0.2887094770100503	0.22084989035696312	0.22851649901290844	0.2619241336200792
10946000	-24832.998457466438	-24354.90809140505	-478.09036606138903	-24354.90809140505	-461.9859422323746	29.695344231383373	1	0	1	0	1	0	2.209109	2.209109	2.209109	0.195025	0.0	0.126002	0.0	0.259764	0.0	3	2.6283127550827374E-4	2.024596578222404	0.2887094770100503	0.22084989035696312	0.22851649901290844	0.2619241336200792
10948000	-24840.477141892057	-24358.3583252132	-482.11881667885655	-24358.3583252132	-463.94590390292467	29.48644118590503	1	1	1	1	0	1	1.857464	1.857464	1.857464	0.347902	0.002857	0.139154	0.127150	0.0	0.393806	5	2.614407708023421E-4	1.7417253949062736	0.2887094770100503	0.22084989035696312	0.22851649901290844	0.2619241336200792
10950000	-24838.788168835963	-24366.524440435896	-472.2637284000648	-24366.524440435896	-452.95303808654126	30.51145265573905	1	1	1	0	1	0	2.144876	2.144876	2.144876	0.170894	0.030208	0.106073	0.0	0.378251	0.0	4	2.4030516857613548E-4	1.848194674655333	0.28328365479025874	0.22084989035696312	0.22851649901290844	0.26734995583987076
10952000	-24827.887613421874	-24358.90929661367	-468.9783168082042	-24358.90929661367	-448.95978297431907	29.861081500327828	1	1	1	0	1	1	1.993075	1.993075	1.993075	0.046360	0.094485	0.194108	0.0	0.129700	0.246001	5	2.717424942315237E-4	1.848194674655333	0.28328365479025874	0.22084989035696312	0.22851649901290844	0.26734995583987076
10954000	-24824.078477186395	-24358.585385347724	-465.4930918386718	-24358.585385347724	-449.58056646892	29.859350926869272	1	1	1	0	1	0	1.870681	1.870681	1.870681	0.253851	0.001941	0.204192	0.0	0.497615	0.0	4	2.577883235819435E-4	1.848194674655333	0.28328365479025874	0.22084989035696312	0.22851649901290844	0.26734995583987076
10956000	-24844.052042188236	-24374.35692028246	-469.6951219057778	-24374.35692028246	-451.9021744000462	30.625046905922424	1	0	1	1	1	1	1.864348	1.864348	1.864348	0.254554	0.0	0.106968	0.040915	0.025996	0.204777	5	2.562166209882278E-4	1.848194674655333	0.28328365479025874	0.22084989035696312	0.23624422599925768	0.2596222288535215
10958000	-24838.027914534865	-24358.969231900126	-479.0586826347379	-24358.969231900126	-457.4827263076757	29.67256498372984	1	1	1	1	1	1	1.777644	1.777644	1.777644	0.163420	0.110381	0.212499	0.000247	0.077183	0.229958	6	2.645871232969841E-4	1.8141222410237434	0.28328365479025874	0.22084989035696312	0.23624422599925768	0.2596222288535215
10960000	-24838.59294898494	-24361.94940077222	-476.64354821271945	-24361.94940077222	-459.54715474584134	29.68049725874545	1	1	1	1	0	1	2.244256	2.244256	2.244256	0.273964	0.119792	0.049908	0.011149	0.0	0.414189	5	2.6392419462470737E-4	1.8141222410237434	0.28328365479025874	0.22084989035696312	0.23624422599925768	0.2596222288535215
10962000	-24835.659650174206	-24371.650438613782	-464.00921156042403	-24371.650438613782	-445.56508253928433	29.677164301450063	1	1	1	1	1	1	1.853600	1.853600	1.853600	0.137391	0.010737	0.112932	0.052794	0.041888	0.219738	6	2.619189690417877E-4	1.8141222410237434	0.28328365479025874	0.21754303774757466	0.23624422599925768	0.26292908146290994
