model	coef	intercept	slope	nSim	protocol	nSeq	matrix
dta	0.9941199868032689	-0.09543626976689268	0.9845668129842086	39	maxPerRegion_10	150	3demes
mascot	0.9952489146638129	0.10464416159645396	0.9882587771663348	39	maxPerRegion_10	150	3demes
basta	0.994285849714818	0.05409396012120382	0.9755316701926725	39	maxPerRegion_10	150	3demes
dta	0.9947248908723564	0.10899946706581431	1.0251227881085432	39	biased_10	500	3demes
mascot	0.9872706854740159	0.23384126911181546	1.011220437123889	39	biased_10	500	3demes
glm	0.9952901648095287	-0.19434642152533144	1.0343009104980256	39	biased_10	500	3demes
dta	0.9940871483380171	-0.18086832241960948	1.0502139031166544	39	biased_5	500	3demes
mascot	0.9931081237518569	-0.09141247375829842	1.0079646229645027	39	biased_5	500	3demes
glm	0.9957272104267504	0.013697013496836163	1.0033155278261092	39	biased_5	500	3demes
dta	0.989175176536937	0.07836120082582099	0.9897271548448018	39	maxPerRegionYear_20	150	3demes
mascot	0.9946731173358201	-0.08695318825379417	0.992086244438926	39	maxPerRegionYear_20	150	3demes
basta	0.9919837508224579	-0.5618410683748678	0.9954719429532924	39	maxPerRegionYear_20	150	3demes
dta	0.9934048544538875	0.34498770837102555	1.0481180245619197	39	biased_50	500	3demes
mascot	0.9886616449296496	0.8635649230421585	0.946976237154578	39	biased_50	500	3demes
glm	0.9961682284616742	0.16238544315510772	0.9964568078420566	39	biased_50	500	3demes
dta	0.995889917637824	0.061337143455180154	0.9924570269692369	39	uniform	500	3demes
mascot	0.9937798204756666	0.05193263519496227	0.9904885913691278	39	uniform	500	3demes
glm	0.9972867827338388	0.2113317675694013	0.9953335123446235	39	uniform	500	3demes
dta	0.9971544864373263	0.3414509891495605	0.9944359434037616	39	biased_2.5	500	3demes
mascot	0.9955198729963726	0.22722229258948268	1.0146349836932607	39	biased_2.5	500	3demes
glm	0.9945277212385949	0.32378043681774216	0.9774850762116366	39	biased_2.5	500	3demes
dta	0.9891549881732868	0.7426725940717116	0.936569153120411	39	uniformS_20	150	3demes
mascot	0.9814688658338908	0.9929307760797492	0.9233476424108871	39	uniformS_20	150	3demes
basta	0.9936786545130161	0.11280817872898652	0.9774664697990431	39	uniformS_20	150	3demes
glm	0.9866363504488652	0.2651686385751617	0.9405630018547939	39	uniformS_20	150	3demes
dta	0.9849401265809438	0.03881969194883084	1.0149158481818659	39	maxPerRegionYear_10	500	3demes
mascot	0.9919129933767011	0.12300979462244044	0.9867446809676305	39	maxPerRegionYear_10	500	3demes
dta	0.9895277353313886	0.591991420842291	0.9888919972623597	39	maxPerRegion_20	500	3demes
mascot	0.9964414788968514	0.39439081641918605	0.9993072448671849	39	maxPerRegion_20	500	3demes
dta	0.9942362054033693	0.10018741019921862	0.9993455224521468	39	biased_50	150	3demes
mascot	0.9871914313125482	1.009759446987804	0.9561383882863814	39	biased_50	150	3demes
basta	0.9892416021594463	0.8331058286403543	0.9851938280729955	39	biased_50	150	3demes
glm	0.9868284509174096	0.20623776921923742	0.9849795732865952	39	biased_50	150	3demes
dta	0.992366724888618	0.9589752833285754	0.9714482227447881	39	biased_10	150	3demes
mascot	0.9851138334743674	1.4324489940477232	0.9439805340368117	39	biased_10	150	3demes
basta	0.9877017188223565	0.025760496607217576	1.035213280219908	39	biased_10	150	3demes
glm	0.9884544519922401	0.9403009539777702	0.978687378194317	39	biased_10	150	3demes
dta	0.9967755091366672	0.4377877093960034	0.9996672210272872	39	uniformS_10	500	3demes
mascot	0.9972772139225131	0.150883838716938	0.9922223895792055	39	uniformS_10	500	3demes
glm	0.9929681552092099	0.4800039227841779	0.9640888073758003	39	uniformS_10	500	3demes
dta	0.9941047375218774	0.07766262058014917	0.9929354444628873	39	uniform	150	3demes
mascot	0.9934162894878129	0.2443724442355304	1.0161837688155233	39	uniform	150	3demes
basta	0.9944285307433789	0.39759720348383354	1.0013066036183482	39	uniform	150	3demes
