regions	value	model	nSim	nSeq	protocol
Region2	2015.2050829999998	simulation	13	500	uniformS_10
Region3	2005.7009739999999	simulation	13	500	uniformS_10
Region1	1993.172603	simulation	13	500	uniformS_50
Region2	2014.120548	simulation	13	500	uniformS_50
Region3	2007.6130620000001	simulation	13	500	uniformS_50
Region1	1990.808219	simulation	13	500	uniformS_5
Region2	2012.241096	simulation	13	500	uniformS_5
Region3	2008.380823	simulation	13	500	uniformS_5
Region1	1990.824658	simulation	13	500	maxPerRegion_2.5
Region2	2011.638357	simulation	13	500	maxPerRegion_2.5
Region3	2007.60548	simulation	13	500	maxPerRegion_2.5
Region1	1990.446575	simulation	13	500	maxPerRegion_20
Region2	2012.22182	simulation	13	500	maxPerRegion_20
Region3	2007.02456	simulation	13	500	maxPerRegion_20
Region1	1990.375342	simulation	13	500	maxPerRegion_50
Region2	2012.09863	simulation	13	500	maxPerRegion_50
Region3	2008.4876709999999	simulation	13	500	maxPerRegion_50
Region1	1990.375342	simulation	13	500	maxPerRegionYear_50
Region2	2013.6754170000002	simulation	13	500	maxPerRegionYear_50
Region3	2008.976787	simulation	13	500	maxPerRegionYear_50
Region1	1990.808219	simulation	13	500	maxPerRegionYear_5
Region2	2014.064578	simulation	13	500	maxPerRegionYear_5
Region3	2009.116634	simulation	13	500	maxPerRegionYear_5
Region1	1989.758904	simulation	13	500	uniform
Region2	2011.97404	simulation	13	500	uniform
Region3	2007.9713	simulation	13	500	uniform
Region1	1992.131148	simulation	13	500	maxPerRegionYear_10
Region2	2015.420512	simulation	13	500	maxPerRegionYear_10
Region3	2010.299963	simulation	13	500	maxPerRegionYear_10
Region1	1992.937158	simulation	13	500	biased_5
Region2	2014.635788	simulation	13	500	biased_5
Region3	2008.286772	simulation	13	500	biased_5
Region1	1990.808219	simulation	13	500	maxPerRegion_5
Region2	2012.531507	simulation	13	500	maxPerRegion_5
Region3	2008.671234	simulation	13	500	maxPerRegion_5
Region1	1990.446575	simulation	13	500	maxPerRegionYear_20
Region2	2013.6564859999999	simulation	13	500	maxPerRegionYear_20
Region3	2007.371555	simulation	13	500	maxPerRegionYear_20
Region1	2016.5017300000002	simulation	36	500	biased_50
Region2	2017.920548	simulation	36	500	biased_50
Region3	1990.128767	simulation	36	500	biased_50
Region1	1989.90137	simulation	36	500	uniformS_2.5
Region2	2016.509589	simulation	36	500	uniformS_2.5
Region3	2017.093151	simulation	36	500	uniformS_2.5
Region1	2015.2630139999999	simulation	36	500	maxPerRegionYear_10
Region2	2018.2630139999999	simulation	36	500	maxPerRegionYear_10
Region3	1990.128767	simulation	36	500	maxPerRegionYear_10
Region1	2012.189041	simulation	36	500	biased_20
Region2	2013.449315	simulation	36	500	biased_20
Region3	1990.128767	simulation	36	500	biased_20
Region1	2016.567647	simulation	36	500	maxPerRegionYear_50
Region2	2018.139726	simulation	36	500	maxPerRegionYear_50
Region3	1990.128767	simulation	36	500	maxPerRegionYear_50
