source	destination	value	model	nSim	nSeq	protocol
Region6	Region4	0.0	simulation	1	150	uniformS_50
Region7	Region4	0.0	simulation	1	150	uniformS_50
Region1	Region5	0.0	simulation	1	150	uniformS_50
Region2	Region5	0.0	simulation	1	150	uniformS_50
Region3	Region5	0.0	simulation	1	150	uniformS_50
Region4	Region5	1.0	simulation	1	150	uniformS_50
Region5	Region5	0.0	simulation	1	150	uniformS_50
Region6	Region5	0.0	simulation	1	150	uniformS_50
Region7	Region5	0.0	simulation	1	150	uniformS_50
Region1	Region6	0.0	simulation	1	150	uniformS_50
Region2	Region6	0.0	simulation	1	150	uniformS_50
Region3	Region6	0.0	simulation	1	150	uniformS_50
Region4	Region6	0.0	simulation	1	150	uniformS_50
Region5	Region6	0.0	simulation	1	150	uniformS_50
Region6	Region6	0.0	simulation	1	150	uniformS_50
Region7	Region6	0.0	simulation	1	150	uniformS_50
Region1	Region7	0.0	simulation	1	150	uniformS_50
Region2	Region7	0.0	simulation	1	150	uniformS_50
Region3	Region7	0.0	simulation	1	150	uniformS_50
Region4	Region7	0.0	simulation	1	150	uniformS_50
Region5	Region7	0.0	simulation	1	150	uniformS_50
Region6	Region7	0.0	simulation	1	150	uniformS_50
Region7	Region7	0.0	simulation	1	150	uniformS_50
Region1	Region1	71.0	simulation	1	150	maxPerRegionYear_10
Region2	Region1	3.0	simulation	1	150	maxPerRegionYear_10
Region3	Region1	1.0	simulation	1	150	maxPerRegionYear_10
Region4	Region1	0.0	simulation	1	150	maxPerRegionYear_10
Region5	Region1	0.0	simulation	1	150	maxPerRegionYear_10
Region6	Region1	0.0	simulation	1	150	maxPerRegionYear_10
Region7	Region1	0.0	simulation	1	150	maxPerRegionYear_10
Region1	Region2	7.0	simulation	1	150	maxPerRegionYear_10
Region2	Region2	40.0	simulation	1	150	maxPerRegionYear_10
Region3	Region2	0.0	simulation	1	150	maxPerRegionYear_10
Region4	Region2	4.0	simulation	1	150	maxPerRegionYear_10
Region5	Region2	1.0	simulation	1	150	maxPerRegionYear_10
Region6	Region2	0.0	simulation	1	150	maxPerRegionYear_10
Region7	Region2	0.0	simulation	1	150	maxPerRegionYear_10
Region1	Region3	0.0	simulation	1	150	maxPerRegionYear_10
Region2	Region3	8.0	simulation	1	150	maxPerRegionYear_10
Region3	Region3	44.0	simulation	1	150	maxPerRegionYear_10
Region4	Region3	4.0	simulation	1	150	maxPerRegionYear_10
Region5	Region3	1.0	simulation	1	150	maxPerRegionYear_10
Region6	Region3	0.0	simulation	1	150	maxPerRegionYear_10
Region7	Region3	0.0	simulation	1	150	maxPerRegionYear_10
Region1	Region4	1.0	simulation	1	150	maxPerRegionYear_10
Region2	Region4	6.0	simulation	1	150	maxPerRegionYear_10
Region3	Region4	3.0	simulation	1	150	maxPerRegionYear_10
Region4	Region4	60.0	simulation	1	150	maxPerRegionYear_10
Region5	Region4	0.0	simulation	1	150	maxPerRegionYear_10
Region6	Region4	0.0	simulation	1	150	maxPerRegionYear_10
Region7	Region4	0.0	simulation	1	150	maxPerRegionYear_10
Region1	Region5	0.0	simulation	1	150	maxPerRegionYear_10
Region2	Region5	2.0	simulation	1	150	maxPerRegionYear_10
Region3	Region5	0.0	simulation	1	150	maxPerRegionYear_10
Region4	Region5	11.0	simulation	1	150	maxPerRegionYear_10
Region5	Region5	15.0	simulation	1	150	maxPerRegionYear_10
Region6	Region5	0.0	simulation	1	150	maxPerRegionYear_10
Region7	Region5	0.0	simulation	1	150	maxPerRegionYear_10
Region1	Region6	0.0	simulation	1	150	maxPerRegionYear_10
Region2	Region6	1.0	simulation	1	150	maxPerRegionYear_10
Region3	Region6	0.0	simulation	1	150	maxPerRegionYear_10
Region4	Region6	0.0	simulation	1	150	maxPerRegionYear_10
Region5	Region6	0.0	simulation	1	150	maxPerRegionYear_10
Region6	Region6	4.0	simulation	1	150	maxPerRegionYear_10
Region7	Region6	0.0	simulation	1	150	maxPerRegionYear_10
Region1	Region7	0.0	simulation	1	150	maxPerRegionYear_10
Region2	Region7	0.0	simulation	1	150	maxPerRegionYear_10
Region3	Region7	0.0	simulation	1	150	maxPerRegionYear_10
Region4	Region7	0.0	simulation	1	150	maxPerRegionYear_10
Region5	Region7	0.0	simulation	1	150	maxPerRegionYear_10
Region6	Region7	0.0	simulation	1	150	maxPerRegionYear_10
Region7	Region7	0.0	simulation	1	150	maxPerRegionYear_10
Region1	Region1	70.0	simulation	1	150	uniformS_2.5
Region2	Region1	3.0	simulation	1	150	uniformS_2.5
Region3	Region1	0.0	simulation	1	150	uniformS_2.5
Region4	Region1	0.0	simulation	1	150	uniformS_2.5
Region5	Region1	0.0	simulation	1	150	uniformS_2.5
Region6	Region1	0.0	simulation	1	150	uniformS_2.5
Region7	Region1	0.0	simulation	1	150	uniformS_2.5
Region1	Region2	5.0	simulation	1	150	uniformS_2.5
Region2	Region2	26.0	simulation	1	150	uniformS_2.5
Region3	Region2	0.0	simulation	1	150	uniformS_2.5
Region4	Region2	1.0	simulation	1	150	uniformS_2.5
Region5	Region2	0.0	simulation	1	150	uniformS_2.5
Region6	Region2	0.0	simulation	1	150	uniformS_2.5
Region7	Region2	0.0	simulation	1	150	uniformS_2.5
Region1	Region3	1.0	simulation	1	150	uniformS_2.5
Region2	Region3	8.0	simulation	1	150	uniformS_2.5
Region3	Region3	82.0	simulation	1	150	uniformS_2.5
Region4	Region3	4.0	simulation	1	150	uniformS_2.5
Region5	Region3	1.0	simulation	1	150	uniformS_2.5
Region6	Region3	0.0	simulation	1	150	uniformS_2.5
Region7	Region3	0.0	simulation	1	150	uniformS_2.5
Region1	Region4	0.0	simulation	1	150	uniformS_2.5
Region2	Region4	3.0	simulation	1	150	uniformS_2.5
Region3	Region4	6.0	simulation	1	150	uniformS_2.5
Region4	Region4	70.0	simulation	1	150	uniformS_2.5
Region5	Region4	0.0	simulation	1	150	uniformS_2.5
Region6	Region4	0.0	simulation	1	150	uniformS_2.5
Region7	Region4	0.0	simulation	1	150	uniformS_2.5
Region1	Region5	1.0	simulation	1	150	uniformS_2.5
Region2	Region5	2.0	simulation	1	150	uniformS_2.5
Region3	Region5	0.0	simulation	1	150	uniformS_2.5
Region4	Region5	4.0	simulation	1	150	uniformS_2.5
Region5	Region5	3.0	simulation	1	150	uniformS_2.5
Region6	Region5	0.0	simulation	1	150	uniformS_2.5
Region7	Region5	0.0	simulation	1	150	uniformS_2.5
Region1	Region6	0.0	simulation	1	150	uniformS_2.5
Region2	Region6	1.0	simulation	1	150	uniformS_2.5
Region3	Region6	0.0	simulation	1	150	uniformS_2.5
Region4	Region6	0.0	simulation	1	150	uniformS_2.5
Region5	Region6	0.0	simulation	1	150	uniformS_2.5
Region6	Region6	0.0	simulation	1	150	uniformS_2.5
Region7	Region6	0.0	simulation	1	150	uniformS_2.5
Region1	Region7	0.0	simulation	1	150	uniformS_2.5
Region2	Region7	1.0	simulation	1	150	uniformS_2.5
Region3	Region7	0.0	simulation	1	150	uniformS_2.5
Region4	Region7	0.0	simulation	1	150	uniformS_2.5
Region5	Region7	0.0	simulation	1	150	uniformS_2.5
Region6	Region7	0.0	simulation	1	150	uniformS_2.5
Region7	Region7	0.0	simulation	1	150	uniformS_2.5
Region1	Region1	57.0	simulation	1	150	maxPerRegionYear_20
Region2	Region1	4.0	simulation	1	150	maxPerRegionYear_20
Region3	Region1	0.0	simulation	1	150	maxPerRegionYear_20
Region4	Region1	0.0	simulation	1	150	maxPerRegionYear_20
