traits	patch	samp.dates	short.names
1_9862_2010.109589	2	2010.109589	1_9862
1_9859_2010.194521	2	2010.194521	1_9859
1_9858_2010.145205	2	2010.145205	1_9858
3_9233_2010.109589	4	2010.109589	3_9233
2_22455_2010.161644	3	2010.161644	2_22455
2_22454_2010.112329	3	2010.112329	2_22454
2_22453_2010.126027	3	2010.126027	2_22453
1_9857_2010.161644	2	2010.161644	1_9857
3_9232_2010.131507	4	2010.131507	3_9232
3_9229_2010.082192	4	2010.082192	3_9229
3_9228_2010.076712	4	2010.076712	3_9228
1_9854_2010.076712	2	2010.076712	1_9854
1_9853_2010.126027	2	2010.126027	1_9853
1_9851_2010.139726	2	2010.139726	1_9851
1_9850_2010.084932	2	2010.084932	1_9850
4_19783_2010.106849	5	2010.106849	4_19783
0_13049_2010.158904	1	2010.158904	0_13049
4_19778_2010.172603	5	2010.172603	4_19778
2_22447_2010.106849	3	2010.106849	2_22447
4_19777_2010.112329	5	2010.112329	4_19777
3_9227_2010.106849	4	2010.106849	3_9227
2_22446_2010.128767	3	2010.128767	2_22446
3_9226_2010.131507	4	2010.131507	3_9226
3_9224_2010.063014	4	2010.063014	3_9224
2_22443_2010.079452	3	2010.079452	2_22443
2_22442_2010.09863	3	2010.09863	2_22442
3_9223_2010.090411	4	2010.090411	3_9223
2_22440_2010.112329	3	2010.112329	2_22440
2_22439_2010.049315	3	2010.049315	2_22439
