parameterChar	value	parameter	nSeq	protocol	matrix	nSim
Region1_Region2	0.008565834557023984	migrationRate	150	maxPerRegion	migrationrates	1
Region1_Region4	0.00012236906510034264	migrationRate	150	maxPerRegion	migrationrates	1
Region1_Region5	0.00012236906510034264	migrationRate	150	maxPerRegion	migrationrates	1
Region1_Region6	0.00012236906510034264	migrationRate	150	maxPerRegion	migrationrates	1
Region2_Region1	0.017131669114047968	migrationRate	150	maxPerRegion	migrationrates	1
Region2_Region2	1.1239598629466472	migrationRate	150	maxPerRegion	migrationrates	1
Region2_Region3	0.010523739598629466	migrationRate	150	maxPerRegion	migrationrates	1
Region2_Region4	0.00978952520802741	migrationRate	150	maxPerRegion	migrationrates	1
Region2_Region5	0.0041605482134116495	migrationRate	150	maxPerRegion	migrationrates	1
Region2_Region6	0.0008565834557023984	migrationRate	150	maxPerRegion	migrationrates	1
Region3_Region2	0.009544787077826725	migrationRate	150	maxPerRegion	migrationrates	1
Region3_Region3	2.59642682329907	migrationRate	150	maxPerRegion	migrationrates	1
Region3_Region4	0.007953989231522272	migrationRate	150	maxPerRegion	migrationrates	1
Region4_Region2	0.0008565834557023984	migrationRate	150	maxPerRegion	migrationrates	1
Region4_Region3	0.0019579050416054823	migrationRate	150	maxPerRegion	migrationrates	1
Region4_Region4	1.0783162016642194	migrationRate	150	maxPerRegion	migrationrates	1
Region4_Region5	0.005873715124816446	migrationRate	150	maxPerRegion	migrationrates	1
Region4_Region6	0.00012236906510034264	migrationRate	150	maxPerRegion	migrationrates	1
Region5_Region1	0.00012236906510034264	migrationRate	150	maxPerRegion	migrationrates	1
Region5_Region2	0.0015907978463044542	migrationRate	150	maxPerRegion	migrationrates	1
Region5_Region3	0.0007342143906020558	migrationRate	150	maxPerRegion	migrationrates	1
Region5_Region4	0.009055310817425355	migrationRate	150	maxPerRegion	migrationrates	1
Region5_Region5	2.305310817425355	migrationRate	150	maxPerRegion	migrationrates	1
Region5_Region6	0.0053842388644150755	migrationRate	150	maxPerRegion	migrationrates	1
Region6_Region4	0.0002447381302006853	migrationRate	150	maxPerRegion	migrationrates	1
Region6_Region5	0.0015907978463044542	migrationRate	150	maxPerRegion	migrationrates	1
Region6_Region6	0.31155163974547234	migrationRate	150	maxPerRegion	migrationrates	1
Region6_Region7	0.0003671071953010279	migrationRate	150	maxPerRegion	migrationrates	1
Region7_Region7	0.00012236906510034264	migrationRate	150	maxPerRegion	migrationrates	1
Region1_Region3	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region1_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region2_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region3_Region1	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region3_Region5	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region3_Region6	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region3_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region4_Region1	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region4_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region5_Region7	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region6_Region1	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region6_Region2	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region6_Region3	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region7_Region1	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region7_Region2	NA	migrationRate	150	maxPerRegion	migrationrates	1
Region7_Region3	NA	migrationRate	150	maxPerRegion	migrationrates	1
