Sample	posterior	likelihood	prior	treeLikelihood.sim1_maxPerRegion_500	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
34832000	-33931.27655894151	-32356.488641905737	-1574.7879170357703	-32356.488641905737	-1552.861638571519	29.958070285202602	1	1	1	1	0	1	2.441221	2.441221	2.441221	0.205934	0.039633	0.288794	0.053479	0.0	0.061346	5	2.4166325012383818E-4	1.9992195278035405	0.2818479061107512	0.2153350248037944	0.23552592339666512	0.26729114568878753
34836000	-33955.34992062649	-32366.54139561243	-1588.8085250140596	-32366.54139561243	-1569.2696803568608	29.94879433879416	1	1	1	1	0	1	2.364818	2.364818	2.364818	0.121692	0.035709	0.529535	0.133381	0.0	0.069815	5	2.4156494794518664E-4	1.9992195278035405	0.2818479061107512	0.21914023968786442	0.23552592339666512	0.2634859308047175
34840000	-33953.646358356185	-32369.51440779615	-1584.1319505600381	-32369.51440779615	-1562.9653127651645	29.95405312615261	1	1	1	0	0	1	2.405719	2.405719	2.405719	0.042374	0.087015	0.479253	0.0	0.0	0.087296	4	2.439942741308491E-4	1.9992195278035405	0.2818479061107512	0.21914023968786442	0.23552592339666512	0.2634859308047175
34844000	-33949.08309713036	-32370.193285758116	-1578.8898113722414	-32370.193285758116	-1558.105297530653	29.954353807543797	1	1	1	1	0	1	2.351652	2.351652	2.351652	0.104224	0.053550	0.437293	0.077953	0.0	0.037536	5	2.386824502875399E-4	1.9992195278035405	0.2818479061107512	0.21914023968786442	0.23552592339666512	0.2634859308047175
34848000	-33939.721513709366	-32360.282794011477	-1579.4387196978928	-32360.282794011477	-1559.1979292049064	29.948204614536778	1	1	1	1	0	1	2.529249	2.529249	2.529249	0.115009	0.045583	0.314509	0.118049	0.0	0.101357	5	2.3760659259669019E-4	1.9992195278035405	0.27928453107436674	0.22866571617255005	0.22775812758747213	0.26429162516560933
34852000	-33929.89408750506	-32345.813870361246	-1584.0802171438133	-32345.813870361246	-1565.2437753941297	30.25842897256339	1	1	1	1	0	1	2.624017	2.624017	2.624017	0.064094	0.093288	0.466102	0.028397	0.0	0.030153	5	2.3856668943569677E-4	1.9992195278035405	0.27928453107436674	0.22866571617255005	0.22775812758747213	0.26429162516560933
34856000	-33949.776084034034	-32368.135464309726	-1581.6406197243086	-32368.135464309726	-1564.6263991338208	30.26092440375872	1	1	1	1	0	1	2.579030	2.579030	2.579030	0.156725	0.044392	0.476232	0.077986	0.0	0.058408	5	2.2592749791889484E-4	2.0796298614537405	0.2789424546779832	0.22866571617255005	0.2281002039838557	0.26429162516560933
34860000	-33955.95514499213	-32359.2349297772	-1596.720215214929	-32359.2349297772	-1578.5057751535637	30.263346660866503	1	1	1	0	0	1	2.630541	2.630541	2.630541	0.150456	0.070657	0.438430	0.0	0.0	0.088876	4	2.3317061896053508E-4	2.0796298614537405	0.2788443600824027	0.2287638107681305	0.2280140262823984	0.26437780286706664
34864000	-33952.742065852115	-32367.80147370171	-1584.9405921504012	-32367.80147370171	-1563.7528121709092	30.26139379503942	1	1	1	1	1	1	2.727301	2.727301	2.727301	0.180121	0.030259	0.444172	0.060890	0.024159	0.056109	6	2.3957574630719224E-4	2.0796298614537405	0.2788443600824027	0.2287638107681305	0.2280140262823984	0.26437780286706664
34868000	-33937.12881147134	-32357.124191481842	-1580.004619989498	-32357.124191481842	-1554.8528985164019	30.25580072590643	1	1	1	1	1	1	2.526777	2.526777	2.526777	0.077981	0.136367	0.366612	0.017795	0.033395	0.045790	6	2.331708623314049E-4	2.0796298614537405	0.2788443600824027	0.2287638107681305	0.2280140262823984	0.26437780286706664
34872000	-33933.04836515243	-32374.081185055005	-1558.9671800974202	-32374.081185055005	-1540.2610897120826	30.260268659700902	1	1	1	1	1	1	2.417942	2.417942	2.417942	0.122285	0.022440	0.383601	0.103087	0.037577	0.066000	6	2.4331603719440444E-4	2.272215480485094	0.2788443600824027	0.2287638107681305	0.2280140262823984	0.26437780286706664
34876000	-33941.7263846084	-32376.674525278457	-1565.0518593299473	-32376.674525278457	-1548.3375853047935	30.25804649960689	1	1	1	1	0	1	2.560186	2.560186	2.560186	0.092704	0.068216	0.417881	0.108744	0.0	0.055391	5	2.376924576168624E-4	2.272215480485094	0.2788443600824027	0.2287638107681305	0.2280140262823984	0.26437780286706664
34880000	-33950.230814747854	-32364.772763601337	-1585.458051146519	-32364.772763601337	-1568.0832351366112	30.25846958481593	1	1	1	1	0	1	2.678978	2.678978	2.678978	0.113616	0.051453	0.371682	0.041706	0.0	0.041090	5	2.4304378158578028E-4	2.2688666117424985	0.2788443600824027	0.2287638107681305	0.2280140262823984	0.26437780286706664
34884000	-33979.2408061375	-32385.84053270147	-1593.4002734360292	-32385.84053270147	-1575.2844471095382	30.264195176156296	1	1	1	1	1	1	2.492314	2.492314	2.492314	0.141890	0.023880	0.400375	0.093790	0.018629	0.038768	6	2.3367322485784453E-4	1.9618774226906075	0.28532958875309916	0.2243490874481184	0.2280140262823984	0.26230729751638227
34888000	-33961.355336749875	-32370.36059628769	-1590.9947404621846	-32370.36059628769	-1569.975742670205	30.3095854693992	1	1	1	1	1	1	2.483879	2.483879	2.483879	0.140579	0.079243	0.346790	0.043311	0.006973	0.069873	6	2.439949604104592E-4	1.9618774226906075	0.28532958875309916	0.22202354132399882	0.23033957240651798	0.26230729751638227
34892000	-33949.661527380835	-32361.743716387886	-1587.9178109929455	-32361.743716387886	-1569.0516737906303	30.308444388816074	1	1	1	0	0	1	2.459981	2.459981	2.459981	0.133209	0.151661	0.483383	0.0	0.0	0.076867	4	2.38587602523423E-4	1.9618774226906075	0.28532958875309916	0.22202354132399882	0.23033957240651798	0.26230729751638227
34896000	-33937.6784069736	-32361.002592007128	-1576.6758149664736	-32361.002592007128	-1557.184728640698	30.31294838591207	1	1	1	1	1	1	2.547711	2.547711	2.547711	0.232618	0.053506	0.395586	0.153551	0.010477	0.036047	6	2.3017768990017678E-4	2.0670148598498796	0.28911044748157144	0.21824268259552654	0.23033957240651798	0.26230729751638227
34900000	-33936.85594002966	-32350.034570274664	-1586.8213697549959	-32350.034570274664	-1569.0317118235605	30.33372134361391	1	1	1	0	0	1	2.439899	2.439899	2.439899	0.135816	0.134542	0.592986	0.0	0.0	0.094566	4	2.432219233135564E-4	2.0676692091493356	0.28911044748157144	0.21824268259552654	0.23033957240651798	0.26230729751638227
34904000	-33944.022415394254	-32354.779517755407	-1589.242897638848	-32354.779517755407	-1571.7558444451315	30.344687258271854	1	1	1	1	0	1	2.626927	2.626927	2.626927	0.090767	0.079752	0.291327	0.076361	0.0	0.080392	5	2.228789388057186E-4	2.0676692091493356	0.28911044748157144	0.2168737819453774	0.23025842648967024	0.2637573440833792
34908000	-33976.36706154055	-32391.21935725341	-1585.1477042871397	-32391.21935725341	-1565.937885814347	30.023849361093916	1	1	1	1	1	1	2.564629	2.564629	2.564629	0.236302	0.102085	0.202003	0.136095	0.051018	0.029784	6	2.3368789469753129E-4	2.0676692091493356	0.28911044748157144	0.2168737819453774	0.23025842648967024	0.2637573440833792
34912000	-33966.738060774966	-32396.352451887033	-1570.3856088879295	-32396.352451887033	-1548.465841093789	30.01989698029407	1	1	1	1	0	1	2.519996	2.519996	2.519996	0.213294	0.032487	0.306578	0.063041	0.0	0.108974	5	2.460248422627043E-4	1.9389513181835412	0.2905708616279316	0.21541336779901726	0.23025842648967024	0.2637573440833792
34916000	-33947.67696814282	-32378.61673614628	-1569.060231996543	-32378.61673614628	-1544.439675636858	30.020560601428112	1	1	1	1	1	1	2.305685	2.305685	2.305685	0.103138	0.060814	0.350810	0.044538	0.025806	0.044778	6	2.3754970611309498E-4	2.163262754255068	0.2905708616279316	0.21541336779901726	0.22635953391261854	0.2676562366604309
34920000	-33939.62860462806	-32373.717003422713	-1565.911601205344	-32373.717003422713	-1549.0895596093585	30.0200383432354	1	1	1	1	0	1	2.520258	2.520258	2.520258	0.130611	0.071867	0.262763	0.078320	0.0	0.046258	5	2.508222375872087E-4	1.9444505024410041	0.2898878807652011	0.21541336779901726	0.22635953391261854	0.2683392175231614
34924000	-33971.45488953726	-32380.143034379573	-1591.3118551576842	-32380.143034379573	-1567.1996940573845	30.021761618624847	1	1	1	1	1	1	2.609598	2.609598	2.609598	0.206374	0.068281	0.294511	0.047694	0.031904	0.037532	6	2.4050017605440425E-4	2.1737570032287685	0.2898878807652011	0.21541336779901726	0.22635953391261854	0.2683392175231614
34928000	-33953.5646786923	-32375.129202696426	-1578.4354759958753	-32375.129202696426	-1559.043872656399	30.022323571132286	1	1	1	1	0	1	2.623523	2.623523	2.623523	0.110817	0.102980	0.296742	0.053391	0.0	0.067164	5	2.514535479366144E-4	2.1737570032287685	0.2898878807652011	0.22244737768150513	0.2218535728493466	0.2658111687039455
34932000	-33930.97408597775	-32355.5777995483	-1575.3962864294485	-32355.5777995483	-1557.483260628625	30.02467950076508	1	1	1	1	1	1	2.488837	2.488837	2.488837	0.126251	0.043058	0.110606	0.039982	0.069653	0.022083	6	2.4911502609806664E-4	1.9349732870795404	0.2898878807652011	0.22244737768150513	0.2218535728493466	0.2658111687039455
34936000	-33931.091738118244	-32369.52097592619	-1561.570762192057	-32369.52097592619	-1545.3639123652829	30.257557311272194	1	1	1	1	0	1	2.228471	2.228471	2.228471	0.118367	0.029599	0.409836	0.075998	0.0	0.038694	5	2.365779094980315E-4	2.252291334380824	0.2898878807652011	0.22412649091375728	0.2218535728493466	0.26413205547169333
34940000	-33914.574674016134	-32356.337076481563	-1558.2375975345735	-32356.337076481563	-1540.9128131464568	30.247705258925535	1	1	1	1	0	1	2.519688	2.519688	2.519688	0.108106	0.068477	0.304849	0.041228	0.0	0.025151	5	2.528642269113886E-4	2.1567370633945573	0.2898878807652011	0.22412649091375728	0.2218535728493466	0.26413205547169333
34944000	-33911.41408533533	-32343.56244163651	-1567.8516436988248	-32343.56244163651	-1548.1113090403767	30.252271824675123	1	1	1	1	0	1	2.662877	2.662877	2.662877	0.140587	0.052193	0.178177	0.101558	0.0	0.053386	5	2.368859631872403E-4	2.026860835265477	0.2883634022846572	0.2256509693943012	0.2218535728493466	0.26413205547169333
34948000	-33937.87330257957	-32371.545167070246	-1566.3281355093197	-32371.545167070246	-1544.9724809395373	30.251870792736373	1	1	1	1	0	1	2.397132	2.397132	2.397132	0.142227	0.075422	0.216050	0.076325	0.0	0.045406	5	2.4405035315292042E-4	2.1472724009182933	0.2883634022846572	0.2256509693943012	0.2218535728493466	0.26413205547169333
34952000	-33921.94772494247	-32365.78729339156	-1556.1604315509103	-32365.78729339156	-1535.2940602107367	30.24834536407656	1	1	1	1	1	1	2.292732	2.292732	2.292732	0.160838	0.069219	0.156111	0.063019	0.057754	0.033211	6	2.5486559198068616E-4	2.363170954608276	0.2858851806944162	0.2250830873499687	0.22489967648392006	0.26413205547169333
34956000	-33907.08717819327	-32376.94180270446	-1530.1453754888105	-32376.94180270446	-1513.6779216983214	30.243646108679577	1	1	1	1	0	1	2.288774	2.288774	2.288774	0.211765	0.091886	0.262521	0.086206	0.0	0.083586	5	2.4967472384818205E-4	2.363170954608276	0.2858851806944162	0.2258042350016001	0.22417852883228867	0.26413205547169333
34960000	-33917.24205097142	-32374.587050453138	-1542.6550005182833	-32374.587050453138	-1525.9870781498264	30.243888959494544	1	1	1	1	1	1	2.388305	2.388305	2.388305	0.181856	0.048221	0.268209	0.034831	0.072994	0.041818	6	2.5586186827283674E-4	2.0358405310436303	0.2858851806944162	0.2258042350016001	0.22417852883228867	0.26413205547169333
34964000	-33926.70248277508	-32374.534038342063	-1552.1684444330194	-32374.534038342063	-1534.0515114781235	30.252877722457466	1	1	1	1	1	1	2.270138	2.270138	2.270138	0.086114	0.029830	0.397743	0.066821	0.060593	0.043009	6	2.416524143316713E-4	2.2454272796678203	0.2858851806944162	0.2258042350016001	0.22417852883228867	0.26413205547169333
34968000	-33924.46992072262	-32375.316677861563	-1549.1532428610556	-32375.316677861563	-1531.1090715822556	30.24723899924963	1	1	1	1	1	1	2.284373	2.284373	2.284373	0.115587	0.048735	0.318264	0.047782	0.050826	0.033254	6	2.4480165208023985E-4	2.2454272796678203	0.2858851806944162	0.2258042350016001	0.22417852883228867	0.26413205547169333
34972000	-33924.47615314313	-32363.457389343836	-1561.01876379929	-32363.457389343836	-1541.3945021826564	30.235758367050774	1	1	1	1	1	1	2.271907	2.271907	2.271907	0.209371	0.037104	0.181199	0.088007	0.014252	0.031062	6	2.4696493408176676E-4	2.08865467409336	0.2872917751876999	0.22439764050831645	0.22417852883228867	0.26413205547169333
34976000	-33925.07391026701	-32346.65893770956	-1578.414972557454	-32346.65893770956	-1556.3885863079809	30.2327000915522	1	1	1	1	0	1	2.596842	2.596842	2.596842	0.095388	0.045535	0.296115	0.108611	0.0	0.056224	5	2.4551460896443157E-4	2.08865467409336	0.2872917751876999	0.22213846420840233	0.22417852883228867	0.26639123177160745
