Sample	posterior	likelihood	prior	treeLikelihood.sim1_biased_20_150	structuredCoalescent	treeHeight	migration.indicator.1	migration.indicator.2	migration.indicator.3	migration.indicator.4	migration.indicator.5	migration.indicator.6	Ne.Region1	Ne.Region2	Ne.Region3	b_migration.Region1_to_Region2	b_migration.Region1_to_Region3	b_migration.Region2_to_Region1	b_migration.Region2_to_Region3	b_migration.Region3_to_Region1	b_migration.Region3_to_Region2	sum(migration.indicator.)	clockRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
6004000	-24647.167244676424	-24155.392179359125	-491.7750653172973	-24155.392179359125	-474.2982303599645	30.201030438849067	1	1	1	0	0	1	2.291024	2.291024	2.291024	0.693276	0.741877	0.283710	0.0	0.0	0.072366	4	2.516573564082519E-4	2.090990403801532	0.2863795792486456	0.21459594188776435	0.23498486715378167	0.26403961170980816
6006000	-24647.195331592666	-24147.196162613007	-499.9991689796575	-24147.196162613007	-480.59762472658264	30.306808752601448	1	1	1	0	1	0	2.099515	2.099515	2.099515	0.866164	0.683598	0.521747	0.0	0.147199	0.0	4	2.469836829739867E-4	2.090990403801532	0.2863795792486456	0.21818686836536266	0.23139394067618335	0.26403961170980816
6008000	-24648.91205636995	-24156.28880159855	-492.623254771398	-24156.28880159855	-477.4217845792057	30.494982829821517	1	1	1	0	0	1	1.934065	1.934065	1.934065	0.742344	0.299491	0.519984	0.0	0.0	0.176147	4	2.6917067597288417E-4	2.090990403801532	0.2863795792486456	0.21818686836536266	0.23139394067618335	0.26403961170980816
6010000	-24652.24855470203	-24155.168011292415	-497.0805434096134	-24155.168011292415	-479.8152083749298	31.568886624608528	1	1	1	1	0	1	2.155532	2.155532	2.155532	1.066318	0.218052	0.929109	0.014890	0.0	0.156042	5	2.5584565703460444E-4	2.0976716575710563	0.2863795792486456	0.22306311023073067	0.22651769881081535	0.26403961170980816
6012000	-24656.99879085595	-24155.247819087286	-501.75097176866353	-24155.247819087286	-481.36999810351716	30.045478610673133	1	1	1	0	1	0	2.311983	2.311983	2.311983	0.284337	0.261281	0.419090	0.0	0.405470	0.0	4	2.3686203991454068E-4	2.0976716575710563	0.2863795792486456	0.22306311023073067	0.22651769881081535	0.26403961170980816
6014000	-24652.02813081643	-24152.308406483797	-499.71972433263227	-24152.308406483797	-476.61393879587376	30.042065260967213	1	1	1	0	0	1	2.641466	2.641466	2.641466	1.311769	0.349928	0.360660	0.0	0.0	0.155721	4	2.469245209021961E-4	1.9811885464692853	0.2863795792486456	0.22306311023073067	0.22651769881081535	0.26403961170980816
6016000	-24650.71236335934	-24142.817278227514	-507.8950851318261	-24142.817278227514	-487.5362543864619	30.042338630347984	1	1	1	1	0	1	2.527082	2.527082	2.527082	0.073133	1.018126	0.181368	0.033863	0.0	0.209727	5	2.5315592149096776E-4	1.9811885464692853	0.2863795792486456	0.21947021165193215	0.23011059738961387	0.26403961170980816
6018000	-24654.378195052755	-24150.30618665765	-504.072008395105	-24150.30618665765	-486.47615480828415	28.392477495439383	0	1	1	0	0	1	2.361065	2.361065	2.361065	0.0	0.816893	0.322602	0.0	0.0	0.238328	3	2.712297452610266E-4	1.9811885464692853	0.2863795792486456	0.21947021165193215	0.23011059738961387	0.26403961170980816
6020000	-24662.122877061734	-24162.538286134684	-499.5845909270499	-24162.538286134684	-481.51981715857914	27.833483169761706	1	1	1	0	0	1	2.438782	2.438782	2.438782	0.614476	0.403024	0.135498	0.0	0.0	0.073686	4	2.787672652412653E-4	1.9811885464692853	0.28639048723133703	0.21945930366924069	0.23011059738961387	0.26403961170980816
6022000	-24664.054916383702	-24175.50247224714	-488.55244413656226	-24175.50247224714	-473.12671652742006	27.83279305637529	1	1	1	0	0	1	1.944942	1.944942	1.944942	0.492256	0.377226	0.423396	0.0	0.0	0.174815	4	2.7153543462324857E-4	1.9811885464692853	0.28639048723133703	0.21945930366924069	0.23011059738961387	0.26403961170980816
6024000	-24667.99458209452	-24166.183565360905	-501.81101673361485	-24166.183565360905	-482.2274779993633	29.755936017606608	1	1	1	0	0	1	2.439297	2.439297	2.439297	1.679221	0.525527	0.546953	0.0	0.0	0.051490	4	2.3335761565986563E-4	1.9811885464692853	0.28639048723133703	0.21945930366924069	0.23011059738961387	0.26403961170980816
6026000	-24676.433039127256	-24175.972987289922	-500.4600518373345	-24175.972987289922	-481.36681516474573	29.47676207830072	1	1	1	1	1	0	2.467336	2.467336	2.467336	1.326271	0.043949	0.461961	0.031928	0.404450	0.0	5	2.567077151335046E-4	2.3239700063000126	0.28639048723133703	0.21945930366924069	0.23011059738961387	0.26403961170980816
6028000	-24658.818400763306	-24155.917840330963	-502.90056043234114	-24155.917840330963	-483.46225855004315	28.854532096134466	1	1	1	1	0	1	2.249805	2.249805	2.249805	0.635486	0.004848	0.297406	0.087997	0.0	0.156418	5	2.4910853399439303E-4	2.3239700063000126	0.28639048723133703	0.21945930366924069	0.23011059738961387	0.26403961170980816
