"matrix"	"nSim"	"nSeq"	"protocol"	"model"
"7demes"	9	500	"maxPerRegionYear_10"	"mascot"
"7demes"	9	500	"maxPerRegion_20"	"mascot"
"7demes"	9	500	"biased_10"	"mascot"
"7demes"	9	500	"maxPerRegionYear_20"	"mascot"
"7demes"	9	500	"uniformS_10"	"mascot"
"7demes"	2	500	"maxPerRegion_10"	"mascot"
"7demes"	2	500	"maxPerRegionYear_10"	"mascot"
"7demes"	2	500	"biased_10"	"mascot"
"7demes"	2	500	"uniformS_20"	"mascot"
"7demes"	2	500	"uniformS_10"	"mascot"
"7demes"	2	500	"biased_2.5"	"mascot"
"7demes"	2	500	"maxPerRegionYear_20"	"mascot"
"7demes"	2	500	"biased_50"	"mascot"
"7demes"	6	500	"uniformS_20"	"mascot"
"7demes"	6	500	"maxPerRegion_20"	"mascot"
"7demes"	6	500	"maxPerRegionYear_20"	"mascot"
"7demes"	6	500	"biased_20"	"mascot"
"7demes"	6	500	"uniform"	"mascot"
"7demes"	6	500	"maxPerRegionYear_10"	"mascot"
"7demes"	6	500	"biased_10"	"mascot"
"7demes"	6	500	"uniformS_10"	"mascot"
"7demes"	6	500	"biased_2.5"	"mascot"
"7demes"	6	500	"maxPerRegion_10"	"mascot"
"7demes"	6	500	"biased_50"	"mascot"
