traits	patch	samp.dates	short.names
0_19411_2018.961644	1	2018.961644	0_19411
1_36222_2018.832877	2	2018.832877	1_36222
1_36221_2018.89863	2	2018.89863	1_36221
1_36220_2018.852055	2	2018.852055	1_36220
1_36219_2018.893151	2	2018.893151	1_36219
0_19408_2018.849315	1	2018.849315	0_19408
1_36216_2018.890411	2	2018.890411	1_36216
1_36214_2018.90411	2	2018.90411	1_36214
1_36213_2018.876712	2	2018.876712	1_36213
0_19407_2018.849315	1	2018.849315	0_19407
1_36211_2018.832877	2	2018.832877	1_36211
1_36209_2018.816438	2	2018.816438	1_36209
0_19400_2018.939726	1	2018.939726	0_19400
1_36208_2018.854795	2	2018.854795	1_36208
1_36207_2018.835616	2	2018.835616	1_36207
1_36204_2018.89589	2	2018.89589	1_36204
0_19394_2018.879452	1	2018.879452	0_19394
1_36202_2018.882192	2	2018.882192	1_36202
1_36200_2018.816438	2	2018.816438	1_36200
0_19389_2018.835616	1	2018.835616	0_19389
0_19387_2018.89863	1	2018.89863	0_19387
0_19386_2018.865753	1	2018.865753	0_19386
0_19385_2018.827397	1	2018.827397	0_19385
1_36199_2018.832877	2	2018.832877	1_36199
1_36196_2018.854795	2	2018.854795	1_36196
1_36195_2018.821918	2	2018.821918	1_36195
1_36194_2018.805479	2	2018.805479	1_36194
0_19380_2018.821918	1	2018.821918	0_19380
0_19379_2018.912329	1	2018.912329	0_19379
0_19378_2018.838356	1	2018.838356	0_19378
0_19376_2018.884932	1	2018.884932	0_19376
0_19375_2018.90137	1	2018.90137	0_19375
1_36193_2018.813699	2	2018.813699	1_36193
0_19373_2018.906849	1	2018.906849	0_19373
0_19372_2018.884932	1	2018.884932	0_19372
0_19367_2018.819178	1	2018.819178	0_19367
0_19709_2019.043836	1	2019.043836	0_19709
0_19365_2018.816438	1	2018.816438	0_19365
0_19364_2018.832877	1	2018.832877	0_19364
2_31231_2018.791781	3	2018.791781	2_31231
1_36189_2018.805479	2	2018.805479	1_36189
1_36187_2018.906849	2	2018.906849	1_36187
1_36185_2018.920548	2	2018.920548	1_36185
0_19362_2018.835616	1	2018.835616	0_19362
0_19360_2018.876712	1	2018.876712	0_19360
0_19359_2018.816438	1	2018.816438	0_19359
0_19358_2018.846575	1	2018.846575	0_19358
1_36183_2018.819178	2	2018.819178	1_36183
1_36181_2018.860274	2	2018.860274	1_36181
0_19354_2018.786301	1	2018.786301	0_19354
0_19353_2018.794521	1	2018.794521	0_19353
1_36175_2018.841096	2	2018.841096	1_36175
0_19349_2018.830137	1	2018.830137	0_19349
0_19348_2018.843836	1	2018.843836	0_19348
0_19346_2018.819178	1	2018.819178	0_19346
0_19343_2018.849315	1	2018.849315	0_19343
0_19338_2018.863014	1	2018.863014	0_19338
0_19337_2018.80274	1	2018.80274	0_19337
1_36173_2018.89863	2	2018.89863	1_36173
0_19335_2018.786301	1	2018.786301	0_19335
0_19333_2018.80274	1	2018.80274	0_19333
1_36172_2018.819178	2	2018.819178	1_36172
1_36171_2018.824658	2	2018.824658	1_36171
1_36168_2019.054795	2	2019.054795	1_36168
1_36167_2018.783562	2	2018.783562	1_36167
0_19329_2018.805479	1	2018.805479	0_19329
0_19328_2018.794521	1	2018.794521	0_19328
1_36164_2018.849315	2	2018.849315	1_36164
1_36160_2018.871233	2	2018.871233	1_36160
0_19327_2018.860274	1	2018.860274	0_19327
0_19324_2018.789041	1	2018.789041	0_19324
1_36158_2018.786301	2	2018.786301	1_36158
0_19322_2018.857534	1	2018.857534	0_19322
0_19321_2018.835616	1	2018.835616	0_19321
0_19320_2018.838356	1	2018.838356	0_19320
0_19318_2018.778082	1	2018.778082	0_19318
0_19317_2018.791781	1	2018.791781	0_19317
1_36155_2018.816438	2	2018.816438	1_36155
0_19314_2018.805479	1	2018.805479	0_19314
0_19310_2018.805479	1	2018.805479	0_19310
0_19309_2018.835616	1	2018.835616	0_19309
1_36154_2018.794521	2	2018.794521	1_36154
1_36153_2018.882192	2	2018.882192	1_36153
1_36152_2018.786301	2	2018.786301	1_36152
1_36151_2018.821918	2	2018.821918	1_36151
0_19307_2018.849315	1	2018.849315	0_19307
0_19304_2018.808219	1	2018.808219	0_19304
2_31229_2018.857534	3	2018.857534	2_31229
2_31228_2018.791781	3	2018.791781	2_31228
1_36144_2018.821918	2	2018.821918	1_36144
2_31226_2018.769863	3	2018.769863	2_31226
1_36143_2018.841096	2	2018.841096	1_36143
0_19292_2018.769863	1	2018.769863	0_19292
1_36142_2018.789041	2	2018.789041	1_36142
1_36141_2018.865753	2	2018.865753	1_36141
0_19290_2018.756164	1	2018.756164	0_19290
1_36139_2018.791781	2	2018.791781	1_36139
0_19286_2018.813699	1	2018.813699	0_19286
0_19285_2018.79726	1	2018.79726	0_19285
0_19284_2018.764384	1	2018.764384	0_19284
1_36136_2018.794521	2	2018.794521	1_36136
1_36135_2018.819178	2	2018.819178	1_36135
1_36132_2018.764384	2	2018.764384	1_36132
1_36131_2018.758904	2	2018.758904	1_36131
1_36128_2018.791781	2	2018.791781	1_36128
1_36124_2018.786301	2	2018.786301	1_36124
1_36123_2018.852055	2	2018.852055	1_36123
1_36122_2018.747945	2	2018.747945	1_36122
0_19278_2018.786301	1	2018.786301	0_19278
0_19277_2018.838356	1	2018.838356	0_19277
0_19276_2018.764384	1	2018.764384	0_19276
0_19274_2018.827397	1	2018.827397	0_19274
1_36121_2018.821918	2	2018.821918	1_36121
1_36120_2018.926027	2	2018.926027	1_36120
1_36118_2018.79726	2	2018.79726	1_36118
0_19272_2018.80274	1	2018.80274	0_19272
0_19267_2018.758904	1	2018.758904	0_19267
0_19265_2018.813699	1	2018.813699	0_19265
1_36113_2018.824658	2	2018.824658	1_36113
0_19264_2018.794521	1	2018.794521	0_19264
0_19260_2018.821918	1	2018.821918	0_19260
2_31221_2018.750685	3	2018.750685	2_31221
1_36105_2018.813699	2	2018.813699	1_36105
1_36104_2018.775342	2	2018.775342	1_36104
1_36103_2018.854795	2	2018.854795	1_36103
0_19254_2018.756164	1	2018.756164	0_19254
0_19251_2018.794521	1	2018.794521	0_19251
1_36101_2018.805479	2	2018.805479	1_36101
1_36099_2018.79726	2	2018.79726	1_36099
0_19250_2018.767123	1	2018.767123	0_19250
0_19247_2018.767123	1	2018.767123	0_19247
0_19245_2018.832877	1	2018.832877	0_19245
1_36097_2018.745205	2	2018.745205	1_36097
1_36096_2018.769863	2	2018.769863	1_36096
1_36095_2018.805479	2	2018.805479	1_36095
1_36094_2018.780822	2	2018.780822	1_36094
0_19244_2018.808219	1	2018.808219	0_19244
0_19241_2018.758904	1	2018.758904	0_19241
2_31219_2018.742466	3	2018.742466	2_31219
1_36091_2018.756164	2	2018.756164	1_36091
1_36088_2018.756164	2	2018.756164	1_36088
1_36087_2018.742466	2	2018.742466	1_36087
1_36086_2018.736986	2	2018.736986	1_36086
1_36084_2018.893151	2	2018.893151	1_36084
1_36082_2018.794521	2	2018.794521	1_36082
2_31217_2018.876712	3	2018.876712	2_31217
0_19233_2018.756164	1	2018.756164	0_19233
0_19232_2018.816438	1	2018.816438	0_19232
2_31215_2018.728767	3	2018.728767	2_31215
1_36079_2018.764384	2	2018.764384	1_36079
1_36073_2018.893151	2	2018.893151	1_36073
0_19230_2018.865753	1	2018.865753	0_19230
1_36072_2018.758904	2	2018.758904	1_36072
1_36070_2018.736986	2	2018.736986	1_36070
1_36068_2018.783562	2	2018.783562	1_36068
0_19226_2018.810959	1	2018.810959	0_19226
0_19224_2018.830137	1	2018.830137	0_19224
0_19223_2018.764384	1	2018.764384	0_19223
0_19222_2018.731507	1	2018.731507	0_19222
1_36063_2018.720548	2	2018.720548	1_36063
0_19221_2018.821918	1	2018.821918	0_19221
0_19218_2018.720548	1	2018.720548	0_19218
0_19216_2018.780822	1	2018.780822	0_19216
0_19215_2018.736986	1	2018.736986	0_19215
0_19214_2018.772603	1	2018.772603	0_19214
0_19213_2018.747945	1	2018.747945	0_19213
1_36061_2018.846575	2	2018.846575	1_36061
0_19211_2018.767123	1	2018.767123	0_19211
1_36058_2018.758904	2	2018.758904	1_36058
0_19207_2018.813699	1	2018.813699	0_19207
0_19205_2018.726027	1	2018.726027	0_19205
0_19202_2018.742466	1	2018.742466	0_19202
2_31213_2018.854795	3	2018.854795	2_31213
1_36055_2018.775342	2	2018.775342	1_36055
1_36054_2018.783562	2	2018.783562	1_36054
1_36053_2018.739726	2	2018.739726	1_36053
0_19198_2018.745205	1	2018.745205	0_19198
0_19196_2018.715068	1	2018.715068	0_19196
0_19195_2018.780822	1	2018.780822	0_19195
0_19194_2018.761644	1	2018.761644	0_19194
0_19193_2018.772603	1	2018.772603	0_19193
0_19186_2018.709589	1	2018.709589	0_19186
1_36051_2018.79726	2	2018.79726	1_36051
1_36423_2019.052055	2	2019.052055	1_36423
1_36049_2018.715068	2	2018.715068	1_36049
0_19183_2018.794521	1	2018.794521	0_19183
0_19181_2018.723288	1	2018.723288	0_19181
0_19180_2018.808219	1	2018.808219	0_19180
0_19179_2018.758904	1	2018.758904	0_19179
0_19177_2018.783562	1	2018.783562	0_19177
0_19176_2018.734247	1	2018.734247	0_19176
0_19175_2018.753425	1	2018.753425	0_19175
0_19172_2018.728767	1	2018.728767	0_19172
0_19167_2018.876712	1	2018.876712	0_19167
0_19166_2018.750685	1	2018.750685	0_19166
0_19165_2018.780822	1	2018.780822	0_19165
0_19164_2018.70137	1	2018.70137	0_19164
0_19161_2018.79726	1	2018.79726	0_19161
1_36038_2018.805479	2	2018.805479	1_36038
1_36036_2018.70411	2	2018.70411	1_36036
0_19155_2018.769863	1	2018.769863	0_19155
1_36027_2018.745205	2	2018.745205	1_36027
1_36022_2018.731507	2	2018.731507	1_36022
1_36020_2018.70411	2	2018.70411	1_36020
0_19151_2018.728767	1	2018.728767	0_19151
0_19149_2018.69863	1	2018.69863	0_19149
1_36019_2018.824658	2	2018.824658	1_36019
1_36018_2018.769863	2	2018.769863	1_36018
1_36013_2018.816438	2	2018.816438	1_36013
0_19147_2018.706849	1	2018.706849	0_19147
1_36012_2018.682192	2	2018.682192	1_36012
0_19143_2018.69589	1	2018.69589	0_19143
1_36004_2018.79726	2	2018.79726	1_36004
1_36003_2018.739726	2	2018.739726	1_36003
1_36002_2018.720548	2	2018.720548	1_36002
1_36001_2018.723288	2	2018.723288	1_36001
1_35999_2018.712329	2	2018.712329	1_35999
0_19141_2018.736986	1	2018.736986	0_19141
